expert,qid,Q,S,R,A
1,23,5,5,5,4
1,31,5,4,4,4
1,33,5,4,4,4
1,36,5,5,5,5
1,37,3,4,3,4
1,53,5,5,5,5
1,54,2,1,2,3
1,57,4,3,4,4
1,58,3,2,4,3
1,60,3,3,2,4
1,61,4,4,3,3
1,62,5,5,5,5
1,63,5,5,4,4
2,1,3,3,3,5
2,2,5,5,4,5
2,3,4,2,1,4
2,4,2,4,4,2
2,5,2,2,2,3
2,6,3,5,5,1
2,7,1,2,2,1
2,8,2,4,3,1
2,9,2,5,3,2
2,14,4,4,5,3
2,15,4,3,5,5
2,16,2,4,4,2
2,17,4,4,4,3
2,18,4,3,4,5
2,23,4,4,4,5
2,24,3,4,4,4
2,25,1,2,2,3
2,26,1,1,1,1
2,39,3,4,2,5
2,40,2,1,1,3
2,41,5,4,5,5
2,42,3,3,2,5
2,43,5,5,5,5
2,44,5,5,5,5
2,45,5,5,5,5
2,46,5,5,5,5
2,47,5,5,5,5
2,48,2,2,2,5
2,49,5,5,5,5
2,50,3,5,5,2
2,66,2,2,2,5
3,1,4,3,4,4
3,8,3,2,2,3
3,14,4,3,4,4
3,15,4,3,4,4
3,23,4,4,4,4
3,39,5,5,5,5
3,41,4,4,4,4
3,42,5,5,5,5
3,43,4,3,3,4
3,44,4,4,4,4
3,45,4,3,4,4
3,46,3,3,3,3
3,47,4,4,4,4
3,48,4,2,3,3
3,49,4,4,4,4
3,63,3,3,4,4
4,1,4,3,4,4
4,2,4,3,5,5
4,3,5,3,5,5
4,4,4,4,4,5
4,5,3,2,4,4
4,6,3,3,4,4
4,7,3,4,4,4
4,8,3,3,4,4
4,9,4,3,3,4
4,10,4,3,3,5
4,11,3,2,2,5
4,12,3,3,2,4
4,13,3,3,2,3
4,14,5,3,4,5
4,15,5,3,4,5
4,16,4,3,4,5
4,17,3,3,4,5
4,18,3,3,3,4
4,19,3,3,4,4
4,20,4,3,3,4
4,21,4,4,4,4
4,23,5,3,4,5
4,24,1,3,1,1
4,25,3,2,4,3
4,26,3,2,3,4
4,27,4,3,4,4
4,28,4,3,4,5
4,29,2,2,2,3
4,30,3,3,2,4
4,31,1,1,1,2
4,33,3,2,2,4
4,35,4,4,3,4
4,36,4,3,4,5
4,37,4,4,3,4
4,38,4,5,4,5
4,39,4,5,3,4
4,41,5,4,5,5
4,43,4,3,3,4
4,44,5,5,4,5
4,45,4,2,3,4
4,47,4,4,4,4
4,48,3,2,4,4
4,49,4,5,5,5
4,50,3,2,3,3
4,51,4,4,4,5
4,52,1,2,1,2
4,53,4,5,4,4
4,54,3,3,3,4
4,55,3,4,4,4
4,57,3,2,2,4
4,58,3,4,4,4
4,60,3,4,2,4
4,61,4,4,2,4
4,62,4,4,3,4
4,63,4,4,3,5
4,64,5,4,4,5
4,65,5,4,4,5
4,66,3,2,3,4
4,67,4,4,4,4
4,68,3,3,3,4
4,69,2,2,1,3
4,70,4,4,3,2
5,4,2,2,2,2
5,6,3,4,5,3
5,8,2,3,3,3
5,22,5,5,5,5
5,31,5,5,5,5
5,35,3,3,3,3
5,36,5,5,5,5
5,37,2,5,5,2
5,38,3,3,3,4
5,43,5,5,5,5
5,44,3,4,4,5
5,52,4,4,5,3
5,53,4,4,5,3
5,54,2,4,3,3
5,55,3,3,3,3
5,57,4,2,3,5
5,60,2,2,2,5
5,61,3,3,3,4
5,62,2,3,2,5
5,63,1,2,2,5
5,64,2,5,5,2
5,65,5,5,5,5
6,1,4,4,4,4
6,2,4,4,5,5
6,3,5,4,5,5
6,4,4,4,4,4
6,5,3,2,3,3
6,6,3,3,3,3
6,7,3,3,3,3
6,8,4,4,4,4
6,9,4,3,3,4
6,10,4,3,3,4
6,11,2,2,2,3
6,12,3,3,3,4
6,13,3,2,3,3
6,14,5,4,4,5
6,15,5,4,4,5
6,16,4,3,3,4
6,17,4,3,3,4
6,18,3,2,3,3
6,19,3,3,3,3
6,20,4,3,3,4
6,21,4,4,4,4
6,22,4,4,4,5
6,23,5,4,5,5
6,24,4,4,4,4
6,25,3,2,3,3
6,26,3,3,2,3
6,27,4,4,4,4
6,28,4,3,4,4
6,29,2,2,2,2
6,30,2,2,3,3
6,31,2,1,2,2
6,32,4,4,4,4
6,33,3,4,3,4
6,34,4,4,4,5
6,35,4,4,4,4
6,36,4,4,4,5
6,37,4,4,3,4
6,38,4,5,4,5
6,39,4,3,3,4
6,40,4,3,4,4
6,41,5,4,5,5
6,42,3,2,2,2
6,43,4,3,3,4
6,44,5,5,4,5
6,45,4,4,4,4
6,46,4,3,4,4
6,47,4,4,4,4
6,48,4,3,4,4
6,49,4,5,4,5
6,50,3,2,3,3
6,51,4,4,4,4
6,52,1,2,1,2
6,53,4,5,5,5
6,54,3,3,4,4
6,55,3,3,3,3
6,56,3,3,3,3
6,57,3,2,2,3
6,58,3,2,3,3
6,59,4,4,4,4
6,60,3,4,3,4
6,61,4,4,4,4
6,62,4,4,3,4
6,63,4,4,4,5
6,64,5,5,4,5
6,65,5,4,4,5
6,66,3,2,3,3
6,67,3,3,3,4
6,68,4,4,4,4
6,69,2,2,2,2
6,70,4,4,4,3
7,9,5,4,5,5
7,10,4,4,5,3
7,11,1,1,3,2
7,12,2,2,3,3
7,13,4,3,4,4
7,14,5,5,5,5
7,15,5,5,5,5
7,27,3,3,3,3
7,28,3,2,3,3
7,29,3,3,4,3
7,30,2,2,3,3
7,44,5,4,5,5
7,47,4,3,4,4
7,49,5,5,5,4
7,50,5,5,5,5
7,51,5,5,5,5
7,53,5,5,5,5
7,54,5,5,5,5
7,64,5,5,5,5
7,65,5,5,5,5
7,70,4,3,5,4
